Date,Open,High,Low,Close,Adj Close,Volume
2014-05-23,124.099998,124.360001,123.330002,123.370003,80.794365,3808100
2014-05-27,123.760002,123.989998,122.750000,122.839996,80.447258,4283300
2014-05-28,122.900002,123.309998,122.519997,122.519997,80.237701,4702900
2014-05-29,122.889999,122.900002,121.650002,122.320000,80.106750,6255000
2014-05-30,122.239998,122.879997,122.010002,122.790001,80.414513,5174700
2014-06-02,122.930000,123.040001,122.010002,122.209999,80.034691,3689800
2014-06-03,122.389999,122.820000,121.720001,122.550003,80.257355,3563800
2014-06-04,122.320000,122.680000,122.000000,122.349998,80.126358,3285500
2014-06-05,122.529999,123.779999,122.459999,123.519997,80.892601,4220600
2014-06-06,123.699997,124.699997,123.540001,124.190002,81.331398,4295400
2014-06-09,124.010002,124.639999,123.879997,124.370003,81.449265,3657700
2014-06-10,124.980003,125.370003,124.150002,125.339996,82.084503,5869400
2014-06-11,125.129997,125.470001,124.620003,125.180000,81.979721,4570900
2014-06-12,125.730003,126.230003,125.419998,126.110001,82.588791,6815800
2014-06-13,125.940002,127.260002,125.900002,127.260002,83.341904,5573600
2014-06-16,127.150002,128.809998,127.139999,128.539993,84.180168,7065300
2014-06-17,127.900002,129.039993,127.570000,128.830002,84.370071,6720700
2014-06-18,128.960007,130.500000,128.360001,130.279999,85.319695,7697700
2014-06-19,130.289993,132.000000,129.910004,131.990005,86.439552,7419900
2014-06-20,131.949997,132.399994,130.880005,132.339996,86.668777,11348300
2014-06-23,132.520004,133.570007,132.419998,132.979996,87.087898,11006900
2014-06-24,132.740005,133.460007,131.710007,131.770004,86.295479,8581100
2014-06-25,131.339996,132.360001,131.009995,131.229996,85.941833,6714200
2014-06-26,131.210007,131.220001,129.529999,130.919998,85.738815,6111400
2014-06-27,130.729996,130.949997,129.300003,130.360001,85.372086,8674700
2014-06-30,130.149994,130.630005,129.369995,130.550003,85.496506,5698900
2014-07-01,130.940002,131.419998,130.460007,130.539993,85.489937,4000500
2014-07-02,130.529999,130.919998,129.990005,130.229996,85.286934,5136800
2014-07-03,131.440002,131.589996,130.720001,131.190002,85.915642,3514000
2014-07-07,130.440002,130.639999,130.020004,130.470001,85.444122,3660000
2014-07-08,129.699997,130.380005,129.520004,129.899994,85.070816,4687600
2014-07-09,130.270004,131.690002,129.990005,131.389999,86.046593,5200800
2014-07-10,130.479996,130.860001,129.899994,130.250000,85.300034,4404800
2014-07-11,129.130005,129.889999,128.029999,128.470001,84.134331,5242700
2014-07-14,128.800003,129.500000,128.380005,129.259995,84.651680,4135800
2014-07-15,129.070007,129.500000,128.610001,129.259995,84.651680,4845000
2014-07-16,129.889999,130.940002,129.690002,130.889999,85.719154,4491800
2014-07-17,130.639999,131.500000,129.880005,130.080002,85.188705,4953600
2014-07-18,130.639999,130.729996,129.580002,130.389999,85.391747,4339400
2014-07-21,130.110001,131.339996,130.009995,131.289993,85.981140,3714000
2014-07-22,131.550003,133.199997,131.550003,132.580002,86.825928,4391700
2014-07-23,132.699997,133.929993,132.479996,133.880005,87.677315,4589500
2014-07-24,134.029999,135.100006,133.690002,134.850006,88.312584,5337900
2014-07-25,134.580002,134.610001,133.059998,133.570007,87.474297,3702000
2014-07-28,133.559998,133.800003,132.889999,133.240005,87.258186,4625000
2014-07-29,132.899994,133.720001,132.419998,132.419998,86.721161,4189100
2014-07-30,132.970001,133.690002,131.500000,132.529999,86.793213,4601800
2014-07-31,131.729996,131.970001,129.100006,129.240005,84.638618,7973700
2014-08-01,127.760002,128.960007,126.360001,127.900002,83.761040,7377800
2014-08-04,127.690002,128.360001,126.029999,128.169998,83.937881,7360000
2014-08-05,127.809998,127.809998,124.580002,124.959999,81.835617,8066700
2014-08-06,124.900002,126.970001,124.800003,125.730003,82.339943,5134900
2014-08-07,126.190002,126.730003,124.830002,125.650002,82.287537,4650700
2014-08-08,126.070000,127.959999,125.910004,127.860001,83.734848,4730700
2014-08-11,128.160004,128.669998,127.540001,127.709999,83.636589,3466500
2014-08-12,127.139999,127.279999,126.260002,127.089996,83.230568,4944100
2014-08-13,127.639999,128.240005,126.870003,127.599998,83.564568,3518200
2014-08-14,127.680000,127.699997,126.529999,126.959999,83.145447,4524000
2014-08-15,126.419998,126.790001,125.680000,126.099998,83.284149,5754300
2014-08-18,126.269997,126.589996,125.629997,126.300003,83.416229,4630000
2014-08-19,126.720001,127.699997,126.550003,127.629997,84.294632,3887800
2014-08-20,127.250000,127.599998,126.779999,127.489998,84.202171,3230300
2014-08-21,127.680000,128.179993,127.180000,127.930000,84.492767,2668100
2014-08-22,127.019997,127.500000,126.470001,127.110001,83.951195,3236900
2014-08-25,127.570000,128.070007,127.379997,127.839996,84.433342,2645700
2014-08-26,128.059998,128.710007,127.940002,128.250000,84.704132,2832400
2014-08-27,128.410004,128.820007,128.190002,128.639999,84.961708,2767000
2014-08-28,128.279999,128.899994,128.250000,128.750000,85.034355,2409000
2014-08-29,129.000000,129.529999,128.500000,129.449997,85.496666,3519000
2014-09-02,129.199997,129.380005,127.059998,127.540001,84.235199,4744500
2014-09-03,128.449997,128.880005,127.669998,127.860001,84.446548,3846300
2014-09-04,128.210007,128.460007,126.199997,126.800003,83.746460,5191200
2014-09-05,127.150002,127.440002,126.160004,127.400002,84.142731,5035500
2014-09-08,126.680000,126.750000,125.690002,126.209999,83.356766,4200800
2014-09-09,124.489998,125.790001,124.260002,125.180000,82.676514,6721600
2014-09-10,124.459999,124.739998,123.010002,124.279999,82.082085,10941800
2014-09-11,123.279999,124.070000,122.410004,123.830002,81.784904,6569600
2014-09-12,123.540001,123.660004,122.209999,122.660004,81.012123,4915600
2014-09-15,122.349998,124.779999,122.059998,124.239998,82.055664,5437600
2014-09-16,124.059998,125.680000,123.610001,124.959999,82.531189,6587200
2014-09-17,125.129997,125.489998,124.449997,124.720001,82.372696,4583500
2014-09-18,124.849998,125.040001,123.849998,124.139999,81.989616,4683200
2014-09-19,124.940002,125.699997,124.650002,124.800003,82.425537,10090000
2014-09-22,124.599998,124.919998,123.470001,123.489998,81.560333,5850500
2014-09-23,123.529999,123.980003,122.860001,123.059998,81.276344,5620700
2014-09-24,123.070000,123.070000,120.849998,122.400002,80.840439,8005900
2014-09-25,122.199997,122.610001,120.680000,120.680000,79.704414,6466300
2014-09-26,120.550003,122.040001,120.019997,121.470001,80.226196,5500500
2014-09-29,120.720001,120.739998,119.139999,120.550003,79.618591,6791500
2014-09-30,120.510002,120.510002,118.660004,119.320000,78.806221,8385700
2014-10-01,118.800003,119.349998,117.379997,117.650002,77.703270,8027900
2014-10-02,117.389999,117.900002,116.129997,117.110001,77.346565,8171200
2014-10-03,118.160004,118.160004,116.400002,117.709999,77.742859,6298300
2014-10-06,117.910004,119.050003,117.279999,118.089996,77.993843,5409500
2014-10-07,117.470001,118.430000,116.000000,116.019997,76.626694,7303800
2014-10-08,115.830002,118.250000,115.150002,117.949997,77.901375,9517400
2014-10-09,117.019997,117.080002,114.239998,114.510002,75.629395,11489200
2014-10-10,114.699997,115.730003,112.879997,113.889999,75.219879,9253100
2014-10-13,113.550003,114.589996,111.849998,112.029999,73.991440,7799100
2014-10-14,112.599998,113.050003,109.099998,109.779999,72.505409,11541500
2014-10-15,108.570000,109.500000,106.650002,109.269997,72.168571,15278400
2014-10-16,107.959999,111.320000,107.199997,111.059998,73.350777,11908400
2014-10-17,111.779999,112.739998,110.730003,111.800003,73.839546,10895500
2014-10-20,111.529999,112.279999,110.970001,111.489998,73.634804,8823800
2014-10-21,113.180000,115.169998,112.910004,115.089996,76.012466,8899700
2014-10-22,115.199997,116.239998,113.910004,114.000000,75.292557,7211600
2014-10-23,116.000000,117.320000,114.949997,116.190002,76.738983,7195500
2014-10-24,116.190002,116.260002,114.529999,115.910004,76.554039,5507900
2014-10-27,114.379997,115.370003,113.459999,115.019997,75.966202,6714600
2014-10-28,116.169998,117.269997,115.160004,117.129997,77.359787,7272600
2014-10-29,118.000000,118.930000,116.099998,117.139999,77.366409,6873700
2014-10-30,116.180000,117.250000,115.570000,117.199997,77.406021,5174400
2014-10-31,118.349998,120.169998,116.389999,119.949997,79.222290,10669500
2014-11-03,119.830002,119.970001,116.459999,116.779999,77.128639,10343300
2014-11-04,115.989998,116.019997,114.800003,115.370003,76.197403,9585800
2014-11-05,117.269997,117.300003,114.860001,117.050003,77.306938,6603300
2014-11-06,116.900002,118.550003,116.360001,118.529999,78.284447,6383800
2014-11-07,118.750000,119.730003,118.360001,118.800003,78.462761,7366600
2014-11-10,119.580002,119.669998,117.309998,117.919998,77.881569,6114600
2014-11-11,117.949997,118.669998,117.300003,118.440002,78.224998,3957000
2014-11-12,117.860001,118.709999,117.379997,117.650002,77.703270,4923900
2014-11-13,117.089996,117.470001,115.639999,116.449997,76.910690,11019900
2014-11-14,115.699997,116.349998,115.419998,116.320000,77.537262,4891700
2014-11-17,115.959999,116.150002,115.269997,115.750000,77.157310,5713700
2014-11-18,115.970001,116.629997,115.250000,115.470001,76.970688,5672800
2014-11-19,115.970001,116.680000,115.070000,116.470001,77.637260,4270300
2014-11-20,116.160004,117.470001,116.160004,117.309998,78.197189,5272800
2014-11-21,118.790001,118.910004,117.730003,118.580002,79.043762,7361600
2014-11-24,118.129997,118.580002,117.150002,117.589996,78.383850,5807600
2014-11-25,117.800003,117.820000,115.629997,116.150002,77.423965,6671400
2014-11-26,116.070000,116.349998,115.019997,115.110001,76.730721,6715100
2014-11-28,111.589996,111.690002,108.430000,108.870003,72.571228,11935600
2014-12-01,109.379997,112.489998,108.680000,111.730003,74.477638,13400100
